categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits et légumes;Fruits; Fraise - Variété Gariguette - Cat. 1;250g ;8,76€/KG;2,19€;non
Fruits et légumes;Fruits; Fraises Gariguette - Sans résidu de pesticide - Cat. 1;200g ;22,45€/KG;4,49€;non
Fruits et légumes;Fruits; Fraises - Cat. 1;250g ;15,16€/KG;3,79€;non
Fruits et légumes;Fruits; Fraises - Cat. 1;500g ;4,58€/KG;2,29€;non
Fruits et légumes;Fruits; Kiwi - Cat. 1;La pièce;0,99€;0,99€;non
Fruits et légumes;Fruits; Mangue - Cat. 1;La pièce;1,49€;1,49€;non
Fruits et légumes;Fruits; Orange à jus - Cat.1;2kg ;1,50€/KG;2,99€;non
Fruits et légumes;Fruits; Orange - Variété sanguinelli - Cat. 1;1kg ;3,29€/KG;3,29€;non
Fruits et légumes;Fruits; Oranges - Variété Maltaise - Cat. 1;De 800g à 1kg ;3,29€/KG;3,29€;non
Fruits et légumes;Fruits; Pomelos rose - Cat.1;La pièce;1,39€;1,39€;non
Fruits et légumes;Fruits; Poires - Variété Conférence - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Fruits; Poire - Variété Rocha - Cat. 1;De 800g à 1kg ;2,99€/KG;2,99€;non
Fruits et légumes;Fruits; Pommes - Variété Gala - Cat. 1;De 800g à 1kg ;2,79€/KG;2,79€;non
Fruits et légumes;Fruits; Pommes - Variété Pink Lady - Cat. 1;De 800g à 1kg ;3,79€/KG;3,79€;non
Fruits et légumes;Fruits; Pommes - Variété Golden Label rouge - Cat. 1;De 800g à 1kg ;2,99€/KG;2,99€;non
Fruits et légumes;Fruits;CASINO Arachide coque;500g ;6,18€/KG;3,09€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Chouchou - Cacahuètes sucrées - Bocal;500g ;7,62€/KG;3,81€;non
Fruits et légumes;Fruits;SEEBERGER Assortiment de noix;150g ;28,33€/KG;4,25€;non
Fruits et légumes;Fruits;CASINO Noix de pécan;125g ;28,40€/KG;3,55€;non
Fruits et légumes;Fruits;CASINO Pause punch - Mélange de fruits secs - Raisins amandes pécan cranberries;250g ;14,76€/KG;3,69€;non
Fruits et légumes;Fruits;CASINO Noix de Cajou grillées - Sans sel ajouté;200g ;24,95€/KG;4,99€;non
Fruits et légumes;Fruits;CASINO Pistaches - Sans sel ajouté;125g ;27,60€/KG;3,45€;non
Fruits et légumes;Fruits;CASINO Pause harmony - Mélange de fruits secs - Amande noisette pomme cerise;250g ;16,60€/KG;4,15€;non
Fruits et légumes;Fruits;CASINO Pause superfruits - Mélange de fruits secs - Mûre cerise myrtille cranberrie125g;125g ;21,52€/KG;2,69€;non
Fruits et légumes;Fruits;LA PULPE Amande blanche en poudre;1kg ;8,99€/KG;8,99€;non
Fruits et légumes;Fruits;MAITRE PRUNILLE Amandes - Décortiquées;250g ;17,04€/KG;4,26€;non
Fruits et légumes;Fruits;CASINO Amandes décortiquées;125g ;20,40€/KG;2,55€;non
