categorie;type;nom;poids;prix_par_kg;prix;promo
Épicerie sucrée;Cafés et boissons chaudes;LEADER PRICE Poudre instantanée cacotée;1kg ;2,95€/KG;2,95€;non
Épicerie sucrée;Cafés et boissons chaudes;VAN HOUTEN Cacao non sucré - Biologique;125g ;16,48€/KG;2,06€;non
Épicerie sucrée;Cafés et boissons chaudes;VAN HOUTEN Le Bio - Cacao non sucré - Biologique;250g ;25,56€/KG;4,09€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO BIO Poudre cacaotée - Biologique;500g ;7,10€/KG;3,55€;non
Épicerie sucrée;Cafés et boissons chaudes;BANANIA Poudre chocolatée - Biologique;750g ;7,99€/KG;5,99€;non
Épicerie sucrée;Cafés et boissons chaudes;GUICHARD PERRACHON Thé noir - Escapade byzantine - Parfumé rose - Fruits des bois;100g ;69€/KG;6,90€;non
Épicerie sucrée;Cafés et boissons chaudes;GUICHARD PERRACHON Thé noir - Jardin de Blackwood - Ceylan;100g ;69€/KG;6,90€;non
Épicerie sucrée;Cafés et boissons chaudes;ALTER ECO Infusion - Rooivos nature -  20 sachets - Fairtradre - Biologique;40g ;66,75€/KG;2,67€;non
Épicerie sucrée;Cafés et boissons chaudes;ETHIQUABLE Thé Earl Grey - Thé Darjeeling - sachets - Biologique;x20 ;68,89€/KG;2,48€;non
Épicerie sucrée;Cafés et boissons chaudes;ETHIQUABLE Thé tonique au guarana - Thé de Ceylan - Sachets - Biologique;x20 ;68,06€/KG;2,45€;non
Épicerie sucrée;Cafés et boissons chaudes;HERBALIST Boisson au maté vert - Infusée jus de citron et gingembre - Biologique;1l ;3,44€/L;3,44€;non
Épicerie sucrée;Cafés et boissons chaudes;HERBALIST Boisson au maté vert - Infusée jus de passion et guarana - Biologique;1l ;3,36€/L;3,36€;non
Épicerie sucrée;Cafés et boissons chaudes;BJORG Lait d'Avoine - Calcium - Biologique;500ml ;2,78€/L;1,39€;non
Épicerie sucrée;Cafés et boissons chaudes;JARDIN BIO ETIC Digestion - Thé vert - En sachets - Biologique;20x30g ;78,67€/KG;2,36€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO BIO Earl Grey - Thé - Aromatisé bergamote - Biologique;40g ;33,06€/KG;1,19€;non
Épicerie sucrée;Cafés et boissons chaudes;CLIPPER Enchanting - Thé blanc - Framboise - 20 sachets - Biologique;34g ;70,59€/KG;2,40€;non
Épicerie sucrée;Cafés et boissons chaudes;CLIPPER Fabulous - Thé vert citron - En sachets - Biologique;x20 ;56,86€/KG;1,99€;non
Épicerie sucrée;Cafés et boissons chaudes;CLIPPER Flower power - Infusion bio - Fleurs de sureau, hibiscus et camomille - 24 sachets - Biologique;35g ;72€/KG;2,52€;non
Épicerie sucrée;Cafés et boissons chaudes;YOGI Matcha énergie - Sachets d'infusion - -Thé vert, matcha, menthe poivrée - Biologique;x12 ;100€/KG;2,20€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO BIO Thé blanc - 20 sachets - Biologique;36g ;77,50€/KG;2,79€;non
Épicerie sucrée;Cafés et boissons chaudes;BIORIGINE Thé brûle graisse - Thé vert bio - 20 sachets - Biologique;39g ;73,33€/KG;2,86€;non
Épicerie sucrée;Cafés et boissons chaudes;BIORIGINE Thé détox - Thé vert bio - 20 sachets - Biologique;39g ;74,36€/KG;2,90€;non
Épicerie sucrée;Cafés et boissons chaudes;BIORIGINE Thé minceur;x20 ;71,79€/KG;2,80€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO BIO Thé noir - Darjeeling - 20 sachets - Biologique;36g ;41,39€/KG;1,49€;non
Épicerie sucrée;Cafés et boissons chaudes;BIORIGINE Thé vert - Brûle-graisse;x20 ;88,44€/KG;2,83€;non
