;;;;Chalamont;Chalamont;CONFRANCON;CONFRANCON;Cusset;Cusset;Divonne-Les-Bains;Divonne-Les-Bains;Domerat;Domerat;OYONNAX Arbent;OYONNAX Arbent;Saint-Galmier;Saint-Galmier;Vichy;Vichy
;;;;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split;prix;nom_split
categorie;type;nom;poids;;;;;;;;;;;;;;;;
Fruits et légumes;Fruits; dattes séchées;250g ;1.07;[' dattes séchées'];;;1.07;[' dattes séchées'];1.07;[' dattes séchées'];1.45;[' dattes séchées'];1.07;[' dattes séchées'];1.07;[' dattes séchées'];;
Fruits et légumes;Fruits; flocon d'avoine - biologique - vrac;De 400g à 500g ;;;;;;;;;;;1.95;"["" flocon d'avoine - biologique - vrac""]";;;;
Fruits et légumes;Fruits; flocons d'avoine melange gourmand - biologique - vrac;De 160g à 200g ;;;;;;;;;;;;;2.38;"["" flocons d'avoine melange gourmand - biologique - vrac""]";;
Fruits et légumes;Fruits; fraise - variété gariguette - ;250g ;2.19;[' fraise - variété gariguette - ', '. 1'];2.19;[' fraise - variété gariguette - ', '. 1'];2.19;[' fraise - variété gariguette - ', '. 1'];2.19;[' fraise - variété gariguette - ', '. 1'];3.99;[' fraise - variété gariguette - ', '. 1'];2.19;[' fraise - variété gariguette - ', '. 1'];2.19;[' fraise - variété gariguette - ', '. 1'];4.2;[' fraise - variété gariguette - ', '. 1']
Fruits et légumes;Fruits; fraise mara des bois - ;250g ;;;;;;;4.99;[' fraise mara des bois - ', '. 1'];;;4.99;[' fraise mara des bois - ', '. 1'];;;;
Fruits et légumes;Fruits; fraise mariguette - ;250g ;;;;;;;;;;;4.29;[' fraise mariguette - ', '. 1'];;;;
Fruits et légumes;Fruits; fraises - ;250g ;3.79;[' fraises - ', '. 1'];3.79;[' fraises - ', '. 1'];;;3.79;[' fraises - ', '. 1'];;;3.79;[' fraises - ', '. 1'];3.79;[' fraises - ', '. 1'];;
Fruits et légumes;Fruits; fraises - ;400g ;;;3.79;[' fraises - ', '. 1'];;;3.79;[' fraises - ', '. 1'];;;;;3.79;[' fraises - ', '. 1'];;
Fruits et légumes;Fruits; fraises - ;500g ;2.29;[' fraises - ', '. 1'];;;2.29;[' fraises - ', '. 1'];2.29;[' fraises - ', '. 1'];3.99;[' fraises - ', '. 1'];2.29;[' fraises - ', '. 1'];2.29;[' fraises - ', '. 1'];;
Fruits et légumes;Fruits; fraises baby - ;1kg ;5.99;[' fraises baby - ', '.1'];;;;;;;;;5.99;[' fraises baby - ', '.1'];5.99;[' fraises baby - ', '.1'];;
Fruits et légumes;Fruits; fraises gariguette - sans résidu de pesticide - ;200g ;4.49;[' fraises gariguette - sans résidu de pesticide - ', '. 1'];4.49;[' fraises gariguette - sans résidu de pesticide - ', '. 1'];4.49;[' fraises gariguette - sans résidu de pesticide - ', '. 1'];;;;;4.49;[' fraises gariguette - sans résidu de pesticide - ', '. 1'];4.49;[' fraises gariguette - sans résidu de pesticide - ', '. 1'];;
Fruits et légumes;Fruits; fraises ronde - ;500g ;;;;;6.99;[' fraises ronde - ', '.1'];;;;;6.99;[' fraises ronde - ', '.1'];6.99;[' fraises ronde - ', '.1'];;
Fruits et légumes;Fruits; fraises rondes - ;250g ;;;;;2.49;[' fraises rondes - ', '. 2 - biologique'];;;;;;;2.49;[' fraises rondes - ', '. 2 - biologique'];;
Fruits et légumes;Fruits; framboises - ;125g ;3.49;[' framboises - ', '. 1'];;;3.49;[' framboises - ', '. 1'];3.49;[' framboises - ', '. 1'];;;3.49;[' framboises - ', '. 1'];3.49;[' framboises - ', '. 1'];;
Fruits et légumes;Fruits; framboises - ;500g ;;;;;;;9.99;[' framboises - ', '. 1'];;;9.99;[' framboises - ', '. 1'];;;;
Fruits et légumes;Fruits; fruits de la passion - ;De 200g à 300g ;;;;;;;;;;;3.0;[' fruits de la passion - ', '. 1'];;;;
Fruits et légumes;Fruits; gingembre confit - biologique - vrac;De 160g à 200g ;;;;;;;;;;;;;2.58;[' gingembre confit - biologique - vrac'];3.18;[' gingembre confit - biologique - vrac']
Fruits et légumes;Fruits; graines de chia - biologique - vrac;De 160g à 200g ;;;;;;;;;;;;;2.38;[' graines de chia - biologique - vrac'];;
Fruits et légumes;Fruits; graines de courge - biologique - vrac;De 160g à 200g ;;;;;;;;;;;;;2.3;[' graines de courge - biologique - vrac'];2.78;[' graines de courge - biologique - vrac']
Fruits et légumes;Fruits; grenade - ;La pièce;;;;;;;2.49;[' grenade - ', '. 1'];;;2.49;[' grenade - ', '. 1'];;;;
Fruits et légumes;Fruits; haricots blancs - biologique - vrac;De 400g à 500g ;;;;;;;;;;;;;2.75;[' haricots blancs - biologique - vrac'];;
Fruits et légumes;Fruits; haricots noirs - biologique - vrac;De 400g à 500g ;;;;;;;;;;;;;2.35;[' haricots noirs - biologique - vrac'];;
Fruits et légumes;Fruits; kiwi - ;1kg ;;;3.99;[' kiwi - ', '. 2'];3.99;[' kiwi - ', '. 2'];3.99;[' kiwi - ', '. 2'];4.49;[' kiwi - ', '. 2'];3.99;[' kiwi - ', '. 2'];3.99;[' kiwi - ', '. 2'];;
Fruits et légumes;Fruits; kiwi - ;La pièce;0.99;[' kiwi - ', '. 1'];0.99;[' kiwi - ', '. 1'];0.99;[' kiwi - ', '. 1'];0.99;[' kiwi - ', '. 1'];0.89;[' kiwi - ', '. 1'];0.99;[' kiwi - ', '. 1'];0.99;[' kiwi - ', '. 1'];2.0;[' kiwi - ', '. 1']
Fruits et légumes;Fruits; kiwi - ;x6;;;;;;;;;;;4.79;[' kiwi - ', '. 2 - biologique'];;;;
Fruits et légumes;Fruits; kiwi - sans résidu de pesticides - ;x4;;;;;;;;;;;3.99;[' kiwi - sans résidu de pesticides - ', '. 1'];;;4.49;[' kiwi - sans résidu de pesticides - ', '. 1']
Fruits et légumes;Fruits; kiwi gold - ;La pièce;;;;;0.99;[' kiwi gold - ', '.1'];;;;;0.99;[' kiwi gold - ', '.1'];0.99;[' kiwi gold - ', '.1'];;
