categorie;type;nom;poids;prix_par_kg;prix;promo
Légumes;null;DOREOC Pomme de terre de consommation - Variété spéciale frites - Filet  - Cat. 2 - Cal. 50/70 - Traité contre la germination;2kg (1,40€/KG);2,79€;non
Légumes;null; Pommes de terre de consommation - Variété à chair ferme - Cat. 1 - Cal. +45 - Traité contre la germination;De 800g à 1kg (1,79€/KG);1,79€;non
Légumes;null;DOREOC Pommes de terre de consommation - Variété à chair ferme - Cat. 1 - Cal. 35/45 - sachet micro-ondable - Traité contre la germination;750g (1,32€/KG);0,99€;non
Légumes;null; Pommes de terre de consommation - Variété à chair ferme - Sans résidu de pesticides - Cat. 1 - Cal. 35/55;1,5kg (2,33€/KG);3,49€;non
Légumes;null; Pommes de terre de consommation - Variété Amandine - Cat. 1 - Cal. 35/55 - Traité contre la germination;2kg (2,25€/KG);4,49€;non
Légumes;null;DOREOC Pommes de terre de consommation - Variété cuisson au Four - Filet - Cat. 1 - Cal. 50/70 - Traité contre la germination;2,5kg (1,52€/KG);3,79€;non
Légumes;null;DOREOC Pommes de terre de consommation - Variété cuisson vapeur - Filet - Cat. 1 - Cal. 35/55 - Traité contre la germination;2,5kg (1,60€/KG);3,99€;non
Légumes;null; Pommes de terre de consommation - Variété Filet - Cat. 1 - Cal. +40 - Traité contre la germination ;2,5kg (1,08€/KG);2,69€;non
Légumes;null;DOREOC Pommes de terre de consommation à chair ferme - Variété Amandine - Cat. 1 - Cal. 28/42 sachet micro-ondable - Traité contre la germination;500g (1,98€/KG);0,99€;non
Légumes;null; Pommes de terre de consommation à chair ferme - Variété Ratte - Cat. 1 - Cal. 10/30 - Sachet micro-ondable - Traité contre la germination ;750g (4,65€/KG);3,49€;non
Légumes;null;DOREOC Pommes de terre de consommation rouge - Variété cuisson Vapeur - Filet - Cat. 1 - Cal. 35/55 - Traité contre la germination;2,5kg (1,60€/KG);3,99€;non
Légumes;null; Courge Potimarron - Cat.1;Pièce;3,49€;non
Légumes;null; Courges tranchées - Cat. 1;De 1kg à 1,5kg (2,49€/KG);3,74€;non
Légumes;null; Courgettes vrac - Cat. 1;De 800g à 1kg (4,99€/KG);4,99€;non
Légumes;null; Echalotes traditionnelles longues - Cat. 1;De 800g à 1kg (5,99€/KG);5,99€;non
Légumes;null;VAJOU Echalotes traditionnelles longues - Sans résidu de pesticides - Cat. 1;250g (9,96€/KG);2,49€;non
Légumes;null; Citrons confits façon Beldi;200g (18,45€/KG);3,69€;non
Légumes;null;PRIMEALE Epinard teen sachet - Cat. 1;400g (5€/KG);2€;non
Légumes;null; Fenouil - Cat. 1;De 800g à 1kg (4,49€/KG);4,49€;non
Légumes;null;PRIMEALE Légumes pour pot au feu - Cat. 1;1kg (3,29€/KG);3,29€;non
Légumes;null; Navets blancs - Cat. 1;De 800g à 1kg (2,59€/KG);2,59€;non
Légumes;null; Navet plat primeur - Cat. 1;De 400g à 500g (2,60€/KG);1,30€;non
Légumes;null; Oignons - Sans résidu de pesticides - Cat.1;x3 (22,45€/KG);4,49€;non
Légumes;null; Oignon jaune - 4 têtes - Sans résidu de pesticides - Cat.1;x4 (5,58€/KG);2,79€;non
Légumes;null; Oignon jaune - Cat. 1;2kg (1,25€/KG);2,49€;non
Légumes;null;FERME DE FONTENAY Oignons jaunes - Cat. 1;1kg (1,59€/KG);1,59€;non
Légumes;null; Oignons jaunes - Cat. 1;De 800g à 1kg (2,79€/KG);2,79€;non
Légumes;null;FERME DE FONTENAY Oignons jaunes - Sans résidu de pesticides - Cat. 1;800g (3,61€/KG);2,89€;non
Légumes;null; Oignon rouge - Sans résidu de pesticides - Cat.1;x3 (8,26€/KG);2,89€;non
Légumes;null; Oignons rouges - Cat. 1;De 800g à 1kg (2,79€/KG);2,79€;non
Légumes;null; Cebette botte - Cat. 1;La pièce;1,59€;non
Légumes;null; Oignons blancs - Botte - Cat.1;La pièce;1,99€;non
Légumes;null; Piment vert - Cat. 1;De 200g à 300g (4€/KG);1,20€;non
Légumes;null; Poireaux - Cat. 1;De 800g à 1kg (1,39€/KG);1,39€;non
