categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Fruit;AUCHAN BIO Oranges à jus;;2,19€ / kg;3,29;non
Fruits, légumes;Fruit;Oranges à déguster non traitées après récolte;;0,67€ / pce;2,69;non
Fruits, légumes;Fruit;Orange à déguster;;0,50€ / pce;0,50;non
Fruits, légumes;Fruit;Oranges à déguster;;1,10€ / kg;2,19;non
Fruits, légumes;Fruit;Pomelo rose;;1,10€ / pce;1,10;non
Fruits, légumes;Fruit;Pommes Pink Lady (Cripps Pink);;0,58€ / pce;3,49;non
Fruits, légumes;Fruit;Pommes Pinkids (Cripps Pink);;0,37€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Golden filière responsable;;2,49€ / pce;2,49;non
Fruits, légumes;Fruit;Pommes Granny;;0,42€ / pce;2,49;non
Fruits, légumes;Fruit;Pommes Golden 1er prix;;1,75€ / kg;3,49;non
Fruits, légumes;Fruit;Pommes Gala;;0,42€ / pce;2,49;non
Fruits, légumes;Fruit;Pommes Juliet bio;;3,69€ / pce;3,69;non
Fruits, légumes;Fruit;Pommes Jazz;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Pomme Pink Lady (Cripps Pink);;0,65€ / pce;0,65;non
Fruits, légumes;Fruit;AUCHAN BIO Pommes bicolores;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes Golden bio;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes Swing bio filière responsable;;0,42€ / pce;2,49;non
Fruits, légumes;Fruit;Pommes rustiques bio filière responsable;;2,49€ / kg;2,49;non
Fruits, légumes;Fruit;Pommes bicolores bio;;1,66€ / kg;2,49;non
Fruits, légumes;Fruit;AUCHAN BIO Kiwis;;3,49€ / pce;3,49;non
Fruits, légumes;Fruit;Kiwis prêts à déguster;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Kiwis 1er prix;;2,99€ / kg;2,99;non
Fruits, légumes;Fruit;Kiwis filière responsable;;0,74€ / pce;3,69;non
Fruits, légumes;Fruit;Kiwi bio;;0,59€ / pce;0,59;non
Fruits, légumes;Fruit;Fraises Ciflorette;250;8,76€ / kg;2,19;non
Fruits, légumes;Fruit;Fraises bio;250;7,96€ / kg;1,99;non
