categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Fruit;Pommes Gala;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Jazz;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Granny;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Golden bio;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes Juliet bio;;3,99€ / pce;3,99;non
Fruits, légumes;Fruit;Pomme Pink Lady (Cripps Pink);;0,65€ / pce;0,65;non
Fruits, légumes;Fruit;Pommes Golden 1er prix;;1,50€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN BIO Pommes bicolores;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes Swing bio filière responsable;;0,67€ / pce;3,99;non
Fruits, légumes;Fruit;Pommes rustiques bio filière responsable;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes bicolores bio;;1,66€ / kg;2,49;non
Fruits, légumes;Fruit;AUCHAN BIO Kiwis;;3,79€ / pce;3,79;non
Fruits, légumes;Fruit;Kiwis prêts à déguster;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Kiwis filière responsable;;0,76€ / pce;3,79;non
Fruits, légumes;Fruit;Kiwis 1er prix;;2,99€ / kg;2,99;non
Fruits, légumes;Fruit;Kiwi bio;;0,55€ / pce;0,55;non
Fruits, légumes;Fruit;Fraises Gariguette;250;8,76€ / kg;2,19;non
Fruits, légumes;Fruit;Fraises Ciflorette;250;8,76€ / kg;2,19;non
Fruits, légumes;Fruit;Fraises bio;250;7,96€ / kg;1,99;non
Fruits, légumes;Fruit;Fraises;500;4,98€ / kg;2,49;non
Fruits, légumes;Fruit;Fraises;500;11,98€ / kg;5,99;non
Fruits, légumes;Fruit;Oranges sanguines Moro;;2,66€ / kg;3,99;non
Fruits, légumes;Fruit;Oranges sanguines Tarocco;;2,66€ / kg;3,99;non
Fruits, légumes;Fruit;Mandarines avec feuilles;;3,33€ / kg;4,99;non
Fruits, légumes;Fruit;AUCHAN RIK & ROK Mandarines;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Mandarines;;2,66€ / kg;3,99;non
Fruits, légumes;Fruit;Mandarines à déguster 1kg;;4,49€ / kg;4,49;non
Fruits, légumes;Fruit;Mandarine pièce;;0,40€ / pce;0,40;non
Fruits, légumes;Fruit;Citron vert;;0,65€ / pce;0,65;non
Fruits, légumes;Fruit;Citrons jaunes à jus;;2,99€ / kg;2,99;non
Fruits, légumes;Fruit;Citron jaune;;0,60€ / pce;0,60;non
Fruits, légumes;Fruit;Citrons jaunes non traités après récolte;;0,50€ / pce;1,99;non
Fruits, légumes;Fruit;Citrons verts;500;4,58€ / kg;2,29;non
Fruits, légumes;Fruit;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Fruit;Citrons jaunes;500;1,98€ / kg;0,99;non
Fruits, légumes;Fruit;Poires Conférence;;2,99€ / kg;2,99;non
Fruits, légumes;Fruit;Poires mûres à point;;1,00€ / pce;3,99;non
Fruits, légumes;Fruit;Poires Rochas;;1,99€ / kg;1,99;non
Fruits, légumes;Fruit;Fraises Gariguette;400;12,48€ / kg;4,99;non
Fruits, légumes;Fruit;Framboises;125;21,52€ / kg;2,69;non
Fruits, légumes;Fruit;Myrtilles;125;19,92€ / kg;2,49;non
Fruits, légumes;Fruit;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Fruit;Bananes Antilles françaises;;0,45€ / pce;2,25;non
Fruits, légumes;Fruit;Bananes Fairtrade filière responsable;750;2,65€ / kg;1,99;non
Fruits, légumes;Fruit;Bananes 1er prix;;0,20€ / pce;1,19;non
Fruits, légumes;Fruit;Ananas sweet;;2,49€ / pce;2,49;non
Fruits, légumes;Fruit;Fruit de la passion;;1,69€ / pce;1,69;non
Fruits, légumes;Fruit;Ananas sans plumet;;0,99€ / pce;0,99;non
Fruits, légumes;Fruit;Mangue;;1,69€ / pce;1,69;non
Fruits, légumes;Fruit;Grenade;;1,99€ / pce;1,99;non
Fruits, légumes;Fruit;AUCHAN RIK & ROK Raisins sans pépins;500;6,98€ / kg;3,49;non
Fruits, légumes;Fruit;Noix filière responsable AOP;650;7,68€ / kg;4,99;non
Fruits, légumes;Fruit;Noix sèches de Grenoble bio;500;9,98€ / kg;4,99;non
Fruits, légumes;Fruit;SUN Amandes en poudre;500;9,38€ / kg;4,69;non
Fruits, légumes;Fruit;WONDERFUL Wonderful amande naturelle 200g;200;18,45€ / kg;3,69;-60% sur le 2ème
Fruits, légumes;Fruit;MAITRE PRUNILLE Pâte d'amande tricolore;250;5,56€ / kg;1,39;non
Fruits, légumes;Fruit;WONDERFUL Wonderful amandes grillées salées 200g;200;18,45€ / kg;3,69;-60% sur le 2ème
Fruits, légumes;Fruit;AUCHAN Amandes grillées sans sel ajouté;200;14,95€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN Cerneaux de noix;200;18,95€ / kg;3,79;non
Fruits, légumes;Fruit;AUCHAN Mélange anti oxydant;150;19,93€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN Noix de cajou grillées sans sel ajouté;150;19,93€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN Noisettes décortiquées;175;17,09€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN GOURMET Amandes décortiquées;150;18,60€ / kg;2,79;non
Fruits, légumes;Fruit;AUCHAN BIO Amandes décortiquées;125;25,52€ / kg;3,19;non
Fruits, légumes;Fruit;AUCHAN BIO Mélange de fruits à coques;150;23,93€ / kg;3,59;non
Fruits, légumes;Fruit;AUCHAN Noix de pécan;125;22,32€ / kg;2,79;non
Fruits, légumes;Fruit;AUCHAN Noix du Brésil;150;25,27€ / kg;3,79;non
Fruits, légumes;Fruit;AUCHAN Amandes crues décortiquées spécial pâtisserie;500;8,98€ / kg;4,49;non
Fruits, légumes;Fruit;AUCHAN Amandes émondées en poudre;125;12,72€ / kg;1,59;non
Fruits, légumes;Fruit;AUCHAN Amandes émondées en poudre;500;8,98€ / kg;4,49;non
Fruits, légumes;Fruit;AUCHAN Amandes effilées émondées;125;12,72€ / kg;1,59;non
Fruits, légumes;Fruit;DACO BELLO Mélange de raisins secs noisettes et amandes;400;10,93€ / kg;4,37;non
Fruits, légumes;Fruit;DACO BELLO Mélange formule détente;200;17,75€ / kg;3,55;non
Fruits, légumes;Fruit;DACO BELLO Mélange de 4 graines grillées;175;24,63€ / kg;4,31;non
Fruits, légumes;Fruit;DACO BELLO Formule Boost Mélange de graines cranberries et amandes;200;18,10€ / kg;3,62;non
Fruits, légumes;Fruit;DACO BELLO Formule active mélange de fruits et fruits secs;200;18,10€ / kg;3,62;non
Fruits, légumes;Fruit;AUCHAN Abricots moelleux dénoyautés;500;9,18€ / kg;4,59;non
Fruits, légumes;Fruit;AUCHAN Pruneaux d'Agen dénoyautés;500;7,98€ / kg;3,99;non
Fruits, légumes;Fruit;AUCHAN GOURMET Pruneaux d'Agen dénoyautés;250;11,56€ / kg;2,89;non
Fruits, légumes;Fruit;LA FAVORITE La Favorite Abricots moelleux 250g;250;8,96€ / kg;2,24;non
Fruits, légumes;Fruit;AUCHAN Figues moelleuses séchées;250;9,96€ / kg;2,49;non
Fruits, légumes;Fruit;LA FAVORITE Dattes sur branches naturelles;;3,79€ / kg;3,79;non
Fruits, légumes;Fruit;AUCHAN GOURMET Dattes deglet nour branchées;500;4,98€ / kg;2,49;non
Fruits, légumes;Fruit;DACO BELLO La Favorite Figues moelleuses et fondantes 250g;250;12,12€ / kg;3,03;non
Fruits, légumes;Fruit;LA FAVORITE Dattes ravier;500;3,16€ / kg;1,58;non
Fruits, légumes;Fruit;SUN Arachides avec coque;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;AUCHAN Pignons de pin décortiqués;70;54,14€ / kg;3,79;non
Fruits, légumes;Fruit;DACO BELLO Formule éclat Mélange de fruits secs et à coque grillés;200;18,10€ / kg;3,62;non
Fruits, légumes;Fruit;AUCHAN BIO Raisins secs sultanines;175;7,94€ / kg;1,39;non
Fruits, légumes;Fruit;LA FAVORITE La Favorite Duo de raisins secs moelleux et fondants 250g;250;8,52€ / kg;2,13;non
Fruits, légumes;Fruit;WONDERFUL Wonderful pistaches grillées non salées 250g;250;19,96€ / kg;4,99;-60% sur le 2ème
Fruits, légumes;Fruit;WONDERFUL Pistaches grillées salées;250;19,96€ / kg;4,99;-60% sur le 2ème
Fruits, légumes;Fruit;WONDERFUL Pistaches légèrement salées;250;19,96€ / kg;4,99;-60% sur le 2ème
Fruits, légumes;Fruit;WONDERFUL Pistaches grillées salées;450;17,76€ / kg;7,99;-60% sur le 2ème
Fruits, légumes;Fruit;AUCHAN Pistaches grillées et salées;250;17,96€ / kg;4,49;non
Fruits, légumes;Fruit;AUCHAN Abricots moelleux dénoyautés;250;10,76€ / kg;2,69;non
Fruits, légumes;Fruit;AUCHAN BIO Mandarines;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Rhubarbe botte;;3,99€ / pce;3,99;non
Fruits, légumes;Fruit;AUCHAN BIO Citrons jaunes;400;2,98€ / kg;1,19;non
Fruits, légumes;Légumes;AUCHAN Pommes de terre de consommation salade vapeur sautées;;0,92€ / kg;2,29;non
Fruits, légumes;Légumes;Radis rouges bio;250;4,60€ / kg;1,15;non
Fruits, légumes;Légumes;Choux de Bruxelles;500;5,98€ / kg;2,99;non
Fruits, légumes;Légumes;Chou-fleur;;1,99€ / pce;1,99;non
Fruits, légumes;Légumes;Chou rouge;;1,99€ / pce;1,99;non
Fruits, légumes;Légumes;Chou vert frisé;;1,99€ / pce;1,99;non
Fruits, légumes;Légumes;Chou blanc;;1,99€ / pce;1,99;non
Fruits, légumes;Légumes;Pommes de terre primeur de l'île de Noirmoutier;750;6,65€ / kg;4,99;non
Fruits, légumes;Légumes;Radis roses;;1,19€ / pce;1,19;0,58€ de remise si 2 achetés
Fruits, légumes;Légumes;Oignons blancs;;1,19€ / pce;1,19;0,58€ de remise si 2 achetés
Fruits, légumes;Légumes;Oignons séléction filet;;1,99€ / kg;1,99;non
Fruits, légumes;Légumes;Oignons rouges;500;3,78€ / kg;1,89;non
Fruits, légumes;Légumes;Oignons filet;;0,99€ / kg;0,99;non
Fruits, légumes;Légumes;Oignons rouges bio;500;5,98€ / kg;2,99;non
Fruits, légumes;Légumes;AUCHAN Oignons bio;;2,99€ / kg;2,99;non
Fruits, légumes;Légumes;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Légumes;Oignons jaunes;;0,80€ / kg;3,99;non
Fruits, légumes;Légumes;Endives;;1,99€ / kg;1,99;non
Fruits, légumes;Légumes;Endives jeunes pousses;;0,42€ / pce;2,50;non
Fruits, légumes;Légumes;Endives bio;;9,98€ / kg;3,99;non
Fruits, légumes;Légumes;Endives de pleine terre label rouge;;2,49€ / pce;2,49;non
Fruits, légumes;Légumes;Endives à gratiner et à braiser;;0,99€ / pce;0,99;non
Fruits, légumes;Légumes;Epinards;400;5,73€ / kg;2,29;non
Fruits, légumes;Légumes;Asperges vertes;500;9,98€ / kg;4,99;non
Fruits, légumes;Légumes;Asperges violettes;500;13,98€ / kg;6,99;non
Fruits, légumes;Légumes;Mélange de tomates anciennes;;5,33€ / kg;7,99;non
Fruits, légumes;Légumes;Tomates saveur d'antan;750;6,65€ / kg;4,99;non
Fruits, légumes;Légumes;AUCHAN Tomates cerises rondes en grappes filière responsable;350;14,26€ / kg;4,99;non
Fruits, légumes;Légumes;Tomates en grappes;;0,60€ / pce;2,99;non
Fruits, légumes;Légumes;Tomates cerises mélangées;400;5,00€ / kg;2,00;non
Fruits, légumes;Légumes;Tomates cerises allongées;250;7,96€ / kg;1,99;non
Fruits, légumes;Légumes;Tomates rondes en grappes bio;500;5,98€ / kg;2,99;non
