categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Fruit;AUCHAN BIO Pomelo rose filière responsable;;1,29€ / pce;1,29;non
Fruits, légumes;Fruit;Pommes Golden filière responsable;;2,99€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Pinkids (Cripps Pink);;0,47€ / pce;3,79;non
Fruits, légumes;Fruit;Pommes Pink Lady (Cripps Pink);;0,55€ / pce;3,29;non
Fruits, légumes;Fruit;Pommes Granny;;0,47€ / pce;2,79;non
Fruits, légumes;Fruit;Pommes Golden 1er prix;2kg;1,15€ / kg;2,29;non
Fruits, légumes;Fruit;Pommes Gala;;0,43€ / pce;2,59;non
Fruits, légumes;Fruit;Pommes Juliet bio;1kg;3,99€ / pce;3,99;non
Fruits, légumes;Fruit;Pommes rustiques bio filière responsable;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pomme Pink Lady (Cripps Pink);;0,65€ / pce;0,65;non
Fruits, légumes;Fruit;Pommes Jazz;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Golden bio;1kg;4,29€ / kg;4,29;non
Fruits, légumes;Fruit;Pommes Reinette du Canada bio;;0,82€ / pce;3,29;non
Fruits, légumes;Fruit;AUCHAN BIO Pommes bicolores;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes Swing bio filière responsable;;0,42€ / pce;2,49;non
Fruits, légumes;Fruit;Pommes bicolores bio;1,5kg;1,66€ / kg;2,49;non
Fruits, légumes;Fruit;AUCHAN BIO Kiwis;;3,69€ / pce;3,69;non
Fruits, légumes;Fruit;Kiwis prêts à déguster;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Kiwi bio;;0,99€ / pce;0,99;non
Fruits, légumes;Fruit;Kiwis 1er prix;1kg;3,79€ / kg;3,79;non
Fruits, légumes;Fruit;Kiwis filière responsable;;0,80€ / pce;3,99;non
Fruits, légumes;Fruit;Fraises Gariguette;250g;8,76€ / kg;2,19;non
Fruits, légumes;Fruit;Fraises bio;250g;9,96€ / kg;2,49;non
Fruits, légumes;Fruit;Fraises;500g;5,38€ / kg;2,69;non
Fruits, légumes;Fruit;Fraises;500g;9,98€ / kg;4,99;non
Fruits, légumes;Fruit;Oranges Maltaise;2kg;2,00€ / kg;3,99;non
Fruits, légumes;Fruit;Mandarines;1,5kg;2,66€ / kg;3,99;non
Fruits, légumes;Fruit;AUCHAN BIO Mandarines;1kg;3,49€ / kg;3,49;non
Fruits, légumes;Fruit;AUCHAN RIK & ROK Mandarines;1kg;4,29€ / kg;4,29;non
Fruits, légumes;Fruit;Mandarines avec feuilles;1,5kg;2,99€ / kg;4,49;non
Fruits, légumes;Fruit;Mandarines à déguster 1kg;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Mandarine pièce;;0,40€ / pce;0,40;non
Fruits, légumes;Fruit;AUCHAN BIO Citrons jaunes;400g;2,98€ / kg;1,19;non
Fruits, légumes;Fruit;Citrons jaunes à jus;1kg;2,79€ / kg;2,79;non
Fruits, légumes;Fruit;Citron jaune;;0,60€ / pce;0,60;non
Fruits, légumes;Fruit;Citrons verts;500g;4,98€ / kg;2,49;non
Fruits, légumes;Fruit;Citrons jaunes non traités après récolte;;0,42€ / pce;1,69;non
Fruits, légumes;Fruit;Citron vert;;0,65€ / pce;0,65;non
Fruits, légumes;Fruit;Citrons jaunes;500g;1,98€ / kg;0,99;non
Fruits, légumes;Fruit;Citrons verts bio;;7,98€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes Granny bio;1kg;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Poires Conférence;1kg;3,29€ / kg;3,29;non
Fruits, légumes;Fruit;Poires Rochas;1kg;1,99€ / kg;1,99;non
Fruits, légumes;Fruit;Poires mûres à point;;0,87€ / pce;3,49;non
Fruits, légumes;Fruit;Framboises;125g;26,32€ / kg;3,29;non
Fruits, légumes;Fruit;Myrtilles;125g;18,32€ / kg;2,29;non
Fruits, légumes;Fruit;Bananes Antilles françaises;;0,45€ / pce;2,25;non
Fruits, légumes;Fruit;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Fruit;Bananes Fairtrade filière responsable;750g;2,12€ / kg;1,59;non
Fruits, légumes;Fruit;Mangue;;1,99€ / pce;1,99;non
Fruits, légumes;Fruit;Fruit de la passion;;1,99€ / pce;1,99;non
Fruits, légumes;Fruit;Ananas sweet;;2,59€ / pce;2,59;non
Fruits, légumes;Fruit;Ananas sans plumet;;0,99€ / pce;0,99;non
Fruits, légumes;Fruit;Grenade;;2,29€ / pce;2,29;non
Fruits, légumes;Fruit;Noix de coco;;1,29€ / pce;1,29;non
Fruits, légumes;Fruit;AUCHAN RIK & ROK Raisins sans pépins;500g;7,38€ / kg;3,69;non
Fruits, légumes;Fruit;Raisins roses sans pépins;500g;7,98€ / kg;3,99;non
Fruits, légumes;Fruit;Noix filière responsable AOP;650g;5,37€ / kg;3,49;non
Fruits, légumes;Fruit;Noix sèches de Grenoble bio;500g;9,18€ / kg;4,59;non
Fruits, légumes;Fruit;SUN Amandes décortiquées;500g;9,38€ / kg;4,69;non
Fruits, légumes;Fruit;WONDERFUL Wonderful amande naturelle 200g;200g;18,45€ / kg;3,69;-60% sur le 2ème
Fruits, légumes;Fruit;WONDERFUL Wonderful amandes grillées salées 200g;200g;18,45€ / kg;3,69;-60% sur le 2ème
Fruits, légumes;Fruit;AUCHAN Amandes grillées sans sel ajouté;200g;14,95€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN Noix de cajou grillées sans sel ajouté;150g;19,93€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN BIO Cerneaux de noix;100g;28,50€ / kg;2,85;non
Fruits, légumes;Fruit;AUCHAN Cerneaux de noix;200g;19,35€ / kg;3,87;non
Fruits, légumes;Fruit;AUCHAN Noisettes décortiquées;175g;17,43€ / kg;3,05;non
Fruits, légumes;Fruit;AUCHAN Mélange anti oxydant;150g;19,93€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN GOURMET Amandes décortiquées;150g;19,00€ / kg;2,85;non
Fruits, légumes;Fruit;AUCHAN Noix de pécan;125g;22,32€ / kg;2,79;non
Fruits, légumes;Fruit;AUCHAN Pistaches grillées sans sel ajouté;250g;18,32€ / kg;4,58;non
Fruits, légumes;Fruit;AUCHAN Mix fitness;180g;15,22€ / kg;2,74;non
Fruits, légumes;Fruit;AUCHAN GOURMET Mélanges 3 saveurs amandes raisins et noix de cajou;250g;14,24€ / kg;3,56;non
Fruits, légumes;Fruit;AUCHAN BIO Amandes décortiquées;125g;26,00€ / kg;3,25;non
Fruits, légumes;Fruit;AUCHAN BIO Mélange de fruits à coques;150g;24,40€ / kg;3,66;non
Fruits, légumes;Fruit;AUCHAN BIO Noix de cajou naturelles;125g;24,40€ / kg;3,05;non
Fruits, légumes;Fruit;AUCHAN Amandes crues décortiquées spécial pâtisserie;500g;8,98€ / kg;4,49;non
Fruits, légumes;Fruit;AUCHAN BIO Noisettes grillées;125g;23,60€ / kg;2,95;non
Fruits, légumes;Fruit;DACO BELLO Mélange de raisins secs noisettes et amandes;400g;11,15€ / kg;4,46;non
Fruits, légumes;Légumes;AUCHAN Pommes de terre de consommation salade vapeur sautées;2,5kg;0,92€ / kg;2,29;non
Fruits, légumes;Légumes;AUCHAN Pommes de terre rouges salade vapeur sautées;2,5kg;0,92€ / kg;2,29;non
Fruits, légumes;Légumes;Radis rouges bio;250g;4,60€ / kg;1,15;non
Fruits, légumes;Légumes;Choux de Bruxelles;500g;5,58€ / kg;2,79;non
Fruits, légumes;Légumes;Chou-fleur;;1,49€ / pce;1,49;non
Fruits, légumes;Légumes;Chou blanc;;2,29€ / pce;2,29;non
Fruits, légumes;Légumes;Chou vert frisé;;2,29€ / pce;2,29;non
Fruits, légumes;Légumes;Chou rouge;;2,29€ / pce;2,29;non
Fruits, légumes;Légumes;Chou fleur bio;;2,79€ / pce;2,79;non
Fruits, légumes;Légumes;Pommes de terre primeur de l'île de Noirmoutier;750g;9,19€ / kg;6,89;non
Fruits, légumes;Légumes;Radis roses;;1,19€ / pce;1,19;0,58€ de remise si 2 achetés
Fruits, légumes;Légumes;Oignons séléction filet;1kg;1,99€ / kg;1,99;non
Fruits, légumes;Légumes;Oignons rouges;500g;5,98€ / kg;2,99;non
Fruits, légumes;Légumes;Oignons filet;1kg;0,99€ / kg;0,99;non
Fruits, légumes;Légumes;AUCHAN Oignons bio;1kg;2,79€ / kg;2,79;non
Fruits, légumes;Légumes;Oignon jaune bio;;0,70€ / pce;0,70;non
Fruits, légumes;Légumes;Endives bio;;7,48€ / kg;2,99;non
Fruits, légumes;Légumes;Endives;1kg;2,19€ / kg;2,19;non
Fruits, légumes;Légumes;Endives jeunes pousses;;0,42€ / pce;2,50;non
Fruits, légumes;Légumes;Endives de pleine terre label rouge;;2,69€ / pce;2,69;non
Fruits, légumes;Légumes;Endives à salade et apéritif;;0,50€ / pce;1,99;non
Fruits, légumes;Légumes;Endives à gratiner et à braiser;;0,99€ / pce;0,99;non
Fruits, légumes;Légumes;Asperges vertes;500g;9,98€ / kg;4,99;non
Fruits, légumes;Légumes;Asperges violettes;500g;10,98€ / kg;5,49;non
Fruits, légumes;Légumes;Asperges vertes bio;400g;22,48€ / pce;8,99;non
Fruits, légumes;Légumes;Tomates cerises mélangées zéro résidu de pesticides;350g;8,54€ / kg;2,99;non
Fruits, légumes;Légumes;Tomates saveur d'antan;750g;6,65€ / kg;4,99;non
Fruits, légumes;Légumes;AUCHAN Tomates cerises rondes en grappes filière responsable;350g;11,40€ / kg;3,99;non
Fruits, légumes;Légumes;Tomates en grappes;;0,60€ / pce;2,99;non
Fruits, légumes;Légumes;Tomates cerises mélangées;400g;5,00€ / kg;2,00;non
Fruits, légumes;Légumes;Tomates cerises allongées;1kg;5,99€ / kg;5,99;non
Fruits, légumes;Légumes;Tomates cerises allongées;250g;9,16€ / kg;2,29;non
Fruits, légumes;Légumes;Tomates cerises allongées bio;250g;7,00€ / kg;1,75;non
Fruits, légumes;Légumes;Tomates rondes en grappes bio;500g;5,38€ / kg;2,69;non
Fruits, légumes;Légumes;Tomates allongées bio;500g;5,38€ / kg;2,69;non
Fruits, légumes;Légumes;Tomates cocktail en grappes;500g;5,98€ / kg;2,99;non
Fruits, légumes;Légumes;Tomates noires Kumato;500g;4,98€ / kg;2,49;non
Fruits, légumes;Légumes;Tomate ronde à farcir;;1,29€ / pce;1,29;non
Fruits, légumes;Légumes;Mélange de tomates anciennes;1,5kg;3,99€ / kg;5,99;non
Fruits, légumes;Légumes;AUCHAN BIO Tomates cerises;500g;5,38€ / kg;2,69;non
Fruits, légumes;Légumes;TOMATE RONDE BIO 750G;;3,45€ / kg;2,59;non
Fruits, légumes;Légumes;Tomates allongées Torino sans résidus de pesticides;600g;5,48€ / kg;3,29;non
Fruits, légumes;Légumes;Tomates cerises rondes;200g;4,95€ / kg;0,99;non
Fruits, légumes;Légumes;Pommes de terre frites purée potage;5kg;0,80€ / kg;3,99;non
Fruits, légumes;Légumes;AUCHAN Pommes de terre frites purée potage;2.5kg;1,20€ / kg;2,99;non
Fruits, légumes;Légumes;Pommes de terre de consommation vapeur salade sautées;2,5kg;1,40€ / kg;3,49;non
Fruits, légumes;Légumes;AUCHAN BIO Pommes de terre pour salade et à la vapeur;;2,00€ / kg;4,99;non
Fruits, légumes;Légumes;AUCHAN Pommes de terre four purée;2,5kg;1,20€ / kg;2,99;non
Fruits, légumes;Légumes;AUCHAN Pommes de terre de consommation à rissoler;1kg;2,00€ / kg;2,00;non
Fruits, légumes;Légumes;Pomme de terre four bio;;0,70€ / pce;0,70;non
Fruits, légumes;Légumes;Pommes de terre Ratte du Touquet;1kg;3,29€ / kg;3,29;non
Fruits, légumes;Légumes;AUCHAN Pommes de terre de consommation blondes à chair ferme micro-ondable;500g;1,98€ / kg;0,99;non
Fruits, légumes;Légumes;Pommes de terre de consommation rouges à chair ferme micro-ondable;500g;1,98€ / kg;0,99;non
Fruits, légumes;Légumes;Pommes de terre de consommation brossées bio;1,5kg;1,99€ / kg;2,99;non
Fruits, légumes;Légumes;Pommes de terre de consommation;10kg;0,35€ / kg;3,49;non
Fruits, légumes;Légumes;Courgettes 1er prix;1kg;2,69€ / kg;2,69;non
Fruits, légumes;Légumes;Courgettes bio;1kg;4,99€ / kg;4,99;non
Fruits, légumes;Légumes;Courgette;;0,99€ / pce;0,99;non
Fruits, légumes;Légumes;Courgette ronde;;0,89€ / pce;0,89;non
Fruits, légumes;Légumes;Poivrons tricolores rouge vert et jaune;500g;4,58€ / kg;2,29;non
Fruits, légumes;Légumes;Poivron rouge;;0,99€ / pce;0,99;non
Fruits, légumes;Légumes;Poivrons vert jaune ou rouge bio;;1,25€ / pce;2,49;non
Fruits, légumes;Légumes;Poivron jaune;;0,99€ / pce;0,99;non
Fruits, légumes;Légumes;Poivrons Palermo 0 résidus;200g;6,95€ / kg;1,39;non
Fruits, légumes;Légumes;Aubergines;1kg;2,49€ / kg;2,49;non
Fruits, légumes;Légumes;Aubergines bio;500g;4,58€ / kg;2,29;non
Fruits, légumes;Légumes;Carottes fanes;;1,19€ / pce;1,19;0,58€ de remise si 2 achetés
Fruits, légumes;Légumes;Blancs de poireaux;500g;5,98€ / kg;2,99;non
Fruits, légumes;Légumes;Carottes bio filière responsable;;1,79€ / kg;2,69;non
Fruits, légumes;Légumes;AUCHAN Carottes;1kg;0,83€ / kg;0,99;non
Fruits, légumes;Légumes;Poireaux bio;750g;4,79€ / kg;3,59;non
Fruits, légumes;Légumes;Carottes sans résidu de pesticides;750g;1,72€ / kg;1,29;non
Fruits, légumes;Légumes;Carottes des sables filière responsable;1kg;2,99€ / kg;2,99;non
Fruits, légumes;Légumes;Carottes;3kg;0,83€ / kg;2,49;non
Fruits, légumes;Légumes;Poireaux botte;1kg;1,49€ / kg;1,49;non
Fruits, légumes;Légumes;Mélange pour pot au feu : carotte, oignon, chou, poireau, céleri rave, navet et persil;1kg;2,99€ / kg;2,99;non
Fruits, légumes;Légumes;Navets;1kg;2,79€ / kg;2,79;non
Fruits, légumes;Légumes;Petites carottes à cuisiner;500g;1,98€ / kg;0,99;non
Fruits, légumes;Légumes;Navets bio;500g;3,00€ / kg;1,50;non
Fruits, légumes;Légumes;Avocat prêt à déguster;;1,29€ / pce;1,29;non
Fruits, légumes;Légumes;Concombre;;1,49€ / pce;1,49;non
Fruits, légumes;Légumes;Avocats prêts à déguster;;1,50€ / pce;2,99;non
Fruits, légumes;Légumes;Concombre bio;;1,89€ / pce;1,89;non
Fruits, légumes;Légumes;Avocat bio;;1,59€ / pce;1,59;non
Fruits, légumes;Légumes;Avocats à faire mûrir;;0,66€ / pce;1,99;non
Fruits, légumes;Légumes;Radis noir;;1,69€ / pce;1,69;non
Fruits, légumes;Légumes;FLORETTE Radis long;200g;11,65€ / kg;2,33;non
Fruits, légumes;Légumes;Ail filet 3 têtes;200g;14,95€ / kg;2,99;non
Fruits, légumes;Légumes;Echalotes demi-longues traditionnelles;250g;5,16€ / kg;1,29;non
Fruits, légumes;Légumes;Echalotes rondes issues de semis filet;500g;3,90€ / kg;1,95;non
Fruits, légumes;Prêt à consommer;Radis rouges bio;250g;4,60€ / kg;1,15;non
Fruits, légumes;Prêt à consommer;Tomates cerises mélangées zéro résidu de pesticides;350g;8,54€ / kg;2,99;non
