categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits, légumes;Fruit;Oranges à déguster;;1,90€ / kg;3,79;non
Fruits, légumes;Fruit;Oranges à déguster;;1,50€ / kg;4,49;non
Fruits, légumes;Fruit;Oranges à jus;;1,90€ / kg;3,79;non
Fruits, légumes;Fruit;AUCHAN BIO Oranges à déguster;;1,99€ / kg;1,99;non
Fruits, légumes;Fruit;Oranges à jus;;1,50€ / kg;4,49;non
Fruits, légumes;Fruit;Pomelo rose;;0,79€ / pce;0,79;non
Fruits, légumes;Fruit;AUCHAN BIO Pomelo rose filière responsable;;1,49€ / pce;1,49;non
Fruits, légumes;Fruit;Pomelos roses pour le jus;;1,75€ / kg;3,49;non
Fruits, légumes;Fruit;Pommes Gala;;0,43€ / pce;2,59;non
Fruits, légumes;Fruit;Pommes bicolores;;1,50€ / kg;2,99;non
Fruits, légumes;Fruit;Pommes Pink Lady (Cripps Pink);;0,58€ / pce;3,49;non
Fruits, légumes;Fruit;Pommes Golden bio régionales d'aquitaine;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes Golden bio;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Pommes Jazz;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Golden filière responsable;;2,89€ / pce;2,89;non
Fruits, légumes;Fruit;Pommes Pinkids (Cripps Pink);;0,37€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes rustiques bio filière responsable;;2,99€ / kg;2,99;non
Fruits, légumes;Fruit;Pommes Juliet bio;;3,99€ / pce;3,99;non
Fruits, légumes;Fruit;Pommes Golden 1er prix;;1,50€ / kg;2,99;non
Fruits, légumes;Fruit;Pommes Reinette du Canada bio;;0,75€ / pce;2,99;non
Fruits, légumes;Fruit;Pommes Swing bio filière responsable;;0,67€ / pce;3,99;non
Fruits, légumes;Fruit;Poires Rochas;;1,99€ / kg;1,99;non
Fruits, légumes;Fruit;Kiwi;;0,40€ / pce;0,40;non
Fruits, légumes;Fruit;Kiwis 1er prix;;2,99€ / kg;2,99;non
Fruits, légumes;Fruit;Kiwis prêts à déguster;;0,50€ / pce;2,99;non
Fruits, légumes;Fruit;AUCHAN BIO Kiwis;;3,99€ / pce;3,99;non
Fruits, légumes;Fruit;Ananas sweet;;2,49€ / pce;2,49;non
Fruits, légumes;Fruit;Ananas sans plumet;;0,99€ / pce;0,99;non
Fruits, légumes;Fruit;Ananas Queen Victoria;;3,99€ / pce;3,99;non
Fruits, légumes;Fruit;Oranges Maltaise;;2,00€ / kg;3,99;non
Fruits, légumes;Fruit;Oranges sanguines Tarocco;;2,46€ / kg;3,69;non
Fruits, légumes;Fruit;Oranges sanguines Moro;;2,46€ / kg;3,69;non
Fruits, légumes;Fruit;AUCHAN RIK & ROK Mandarines;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Mandarines avec feuilles;;3,19€ / kg;4,79;non
Fruits, légumes;Fruit;Mandarines pour le jus;;1,90€ / kg;3,79;non
Fruits, légumes;Fruit;AUCHAN BIO Mandarines;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Mandarines à déguster 1kg;;3,99€ / kg;3,99;non
Fruits, légumes;Fruit;Mandarines;;2,59€ / kg;3,89;non
Fruits, légumes;Fruit;Citrons jaunes;500g;1,98€ / kg;0,99;non
Fruits, légumes;Fruit;Citrons verts;500g;4,98€ / kg;2,49;non
Fruits, légumes;Fruit;Citrons jaunes à jus;;2,69€ / kg;2,69;non
Fruits, légumes;Fruit;Fraises Gariguette;250g;13,96€ / kg;3,49;non
Fruits, légumes;Fruit;Fraises bio;250g;7,16€ / kg;1,79;non
Fruits, légumes;Fruit;Fraises Ciflorette;250g;11,96€ / kg;2,99;non
Fruits, légumes;Fruit;Fraises;500g;4,98€ / kg;2,49;non
Fruits, légumes;Fruit;Framboises;125g;20,72€ / kg;2,59;non
Fruits, légumes;Fruit;Myrtilles;125g;17,52€ / kg;2,19;non
Fruits, légumes;Fruit;Groseilles rouges;125g;23,92€ / kg;2,99;non
Fruits, légumes;Fruit;Bananes Fairtrade filière responsable;750g;2,39€ / kg;1,79;non
Fruits, légumes;Fruit;Bananes bio;;0,34€ / pce;1,69;non
Fruits, légumes;Fruit;Grenade;;1,29€ / pce;1,29;non
Fruits, légumes;Fruit;Fruit de la passion;;1,99€ / pce;1,99;non
Fruits, légumes;Fruit;Noix de coco;;1,29€ / pce;1,29;non
Fruits, légumes;Fruit;Raisins roses sans pépins;500g;7,78€ / kg;3,89;non
Fruits, légumes;Fruit;AUCHAN RIK & ROK Raisins sans pépins;500g;6,78€ / kg;3,39;non
Fruits, légumes;Fruit;Noix filière responsable AOP;650g;7,68€ / kg;4,99;non
Fruits, légumes;Fruit;SUN Amandes en poudre;500g;9,38€ / kg;4,69;non
Fruits, légumes;Fruit;SUN Amandes décortiquées;500g;9,38€ / kg;4,69;non
Fruits, légumes;Fruit;AUCHAN BIO Noisettes grillées;125g;23,12€ / kg;2,89;non
Fruits, légumes;Fruit;AUCHAN Amandes grillées sans sel ajouté;200g;14,95€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN Noix de macadamia non salées grillées;150g;31,93€ / kg;4,79;non
Fruits, légumes;Fruit;AUCHAN Amandes émondées en poudre;500g;8,98€ / kg;4,49;non
Fruits, légumes;Fruit;AUCHAN Noisettes décortiquées;175g;17,09€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN Mélange anti oxydant;150g;19,93€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN GOURMET Mélanges 3 saveurs amandes raisins et noix de cajou;250g;13,96€ / kg;3,49;non
Fruits, légumes;Fruit;AUCHAN GOURMET Amandes décortiquées;150g;18,60€ / kg;2,79;non
Fruits, légumes;Fruit;AUCHAN BIO Mélange de fruits à coques;150g;23,93€ / kg;3,59;non
Fruits, légumes;Fruit;AUCHAN Noix de pécan;125g;22,32€ / kg;2,79;non
Fruits, légumes;Fruit;AUCHAN Mélange classique pour salades;150g;17,27€ / kg;2,59;non
Fruits, légumes;Fruit;AUCHAN BIO Noix de cajou naturelles;125g;23,92€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN Noix du Brésil;150g;25,27€ / kg;3,79;non
Fruits, légumes;Fruit;AUCHAN BIO Mix fruits secs amandes cranberries raisin;150g;21,93€ / kg;3,29;non
Fruits, légumes;Fruit;SUN Amandes émondées;150g;16,60€ / kg;2,49;non
Fruits, légumes;Fruit;AUCHAN Amandes crues décortiquées spécial pâtisserie;500g;8,98€ / kg;4,49;non
Fruits, légumes;Fruit;AUCHAN Noix de cajou grillées sans sel ajouté;150g;19,93€ / kg;2,99;non
Fruits, légumes;Fruit;AUCHAN BIO Cerneaux de noix;100g;27,90€ / kg;2,79;non
Fruits, légumes;Fruit;AUCHAN Noix de coco râpée;125g;7,92€ / kg;0,99;non
Fruits, légumes;Fruit;AUCHAN Amandes émondées en poudre;125g;12,72€ / kg;1,59;non
Fruits, légumes;Fruit;AUCHAN Auchan Noisettes grillées en poudre 125g;125g;18,32€ / kg;2,29;non
Fruits, légumes;Fruit;AUCHAN Cerneaux de noix;200g;18,95€ / kg;3,79;non
Fruits, légumes;Fruit;AUCHAN Amandes effilées émondées;125g;12,72€ / kg;1,59;non
Fruits, légumes;Fruit;AUCHAN BIO Amandes en poudre;100g;29,90€ / kg;2,99;non
Fruits, légumes;Fruit;POUCE Amandes en poudre;800g;8,24€ / kg;6,59;non
Fruits, légumes;Fruit;AUCHAN BIO Amandes décortiquées;125g;25,52€ / kg;3,19;non
Fruits, légumes;Fruit;AUCHAN ESSENTIEL Amandes décortiquées;125g;15,92€ / kg;1,99;non
Fruits, légumes;Fruit;DACO BELLO Formule zen Mélange de fruits secs et à coques;200g;18,70€ / kg;3,74;non
Fruits, légumes;Fruit;DACO BELLO Mélange de 4 graines grillées;175g;24,46€ / kg;4,28;non
Fruits, légumes;Fruit;DACO BELLO Mélange de raisins secs noisettes et amandes;400g;10,90€ / kg;4,36;non
Fruits, légumes;Fruit;DACO BELLO Mélange formule détente;200g;18,70€ / kg;3,74;non
Fruits, légumes;Fruit;DACO BELLO Mix rhubarbe;300g;13,50€ / kg;4,05;non
Fruits, légumes;Fruit;DACO BELLO Formule Boost Mélange de graines cranberries et amandes;200g;17,25€ / kg;3,45;non
Fruits, légumes;Fruit;DACO BELLO Mix cocktail non salé;400g;11,15€ / kg;4,46;non
Fruits, légumes;Fruit;AUCHAN Abricots moelleux dénoyautés;250g;10,76€ / kg;2,69;non
Fruits, légumes;Fruit;AUCHAN Abricots moelleux dénoyautés;500g;9,18€ / kg;4,59;non
Fruits, légumes;Fruit;AUCHAN GOURMET Pruneaux d'Agen avec noyau;500g;7,98€ / kg;3,99;non
Fruits, légumes;Fruit;AUCHAN BIO Pruneaux d'Agen moelleux entiers;200g;16,95€ / kg;3,39;non
Fruits, légumes;Fruit;AUCHAN GOURMET Pruneaux d'Agen dénoyautés;250g;11,56€ / kg;2,89;non
Fruits, légumes;Fruit;CREALINE Pruneaux d'Agen entiers;;6,99€ / kg;6,99;non
Fruits, légumes;Fruit;AUCHAN Prunes moelleuses dénoyautées;250g;13,16€ / kg;3,29;non
Fruits, légumes;Fruit;AUCHAN Abricots dénoyautés;250g;13,16€ / kg;3,29;non
Fruits, légumes;Fruit;MAITRE PRUNILLE Pruneaux d'Agen dénoyautés;500g;8,56€ / kg;4,28;non
Fruits, légumes;Fruit;AUCHAN BIO Abricots moelleux dénoyautés;200g;13,45€ / kg;2,69;non
Fruits, légumes;Fruit;MAITRE PRUNILLE Pruneaux géants dénoyautés;500g;9,90€ / kg;4,95;non
Fruits, légumes;Fruit;MAITRE PRUNILLE Pruneaux d'Agen géants dénoyautés IGP;500g;9,88€ / kg;4,94;non
Fruits, légumes;Fruit;HOLYFRUITS Dattes;500g;2,98€ / kg;1,49;non
Fruits, légumes;Fruit;AUCHAN Figues moelleuses sèches;500g;9,58€ / kg;4,79;non
Fruits, légumes;Fruit;AUCHAN Dattes dénoyautées moelleuses;250g;6,76€ / kg;1,69;non
Fruits, légumes;Fruit;LA FAVORITE Dattes sur branches naturelles;;3,79€ / kg;3,79;non
Fruits, légumes;Fruit;AUCHAN Figues moelleuses séchées;250g;10,36€ / kg;2,59;non
Fruits, légumes;Fruit;AUCHAN Dattes deglet nour avec noyau;500g;4,38€ / kg;2,19;non
Fruits, légumes;Fruit;AUCHAN BIO Figues moelleuses;200g;13,45€ / kg;2,69;non
Fruits, légumes;Fruit;AUCHAN GOURMET Dattes deglet nour branchées;500g;4,98€ / kg;2,49;non
Fruits, légumes;Fruit;AUCHAN Dattes Deglet Nour avec noyaux;250g;4,36€ / kg;1,09;non
Fruits, légumes;Fruit;AUCHAN BIO Dattes entières bio;175g;11,94€ / kg;2,09;non
