categorie;type;nom;poids;prix_par_kg;prix;promo
Fruits et légumes;Légumes; Salade Feuille de chêne blonde - Cat. 1;La pièce;1,59€;1,59€;non
Fruits et légumes;Légumes; Salade feuille de chêne brune - Cat. 1;La pièce;1,59€;1,59€;non
Fruits et légumes;Légumes; Salade Sucrine - Cat. 1;x3;1,29€;1,29€;non
Fruits et légumes;Légumes; Tomate allongée - Cat. 1;De 800g à 1kg ;5,99€/KG;5,99€;non
Fruits et légumes;Légumes; Tomate Côtelée Aumonière - Cat. 2;De 800g à 1kg ;5,99€/KG;5,99€;non
Fruits et légumes;Légumes; Tomates cerises allongées - Sans résidu de pesticides - Cat. 1;250g ;15,96€/KG;3,99€;non
Fruits et légumes;Légumes;SAVEOL Tomates cerises méli mélo - Sans résidu de pesticides - Cat. 1;350g ;14,26€/KG;4,99€;non
Fruits et légumes;Légumes; Tomates cerises rondes - Sans résidu de pesticides - Cat. 1;250g ;15,96€/KG;3,99€;non
Fruits et légumes;Légumes; Tomate ronde - Variété Grappe - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Légumes; Tomates rondes charnues - Cat. 1;De 800g à 1kg ;4,99€/KG;4,99€;non
Fruits et légumes;Légumes;CASINO Coeur de laitue;200g ;8,95€/KG;1,79€;non
Fruits et légumes;Légumes;CASINO Feuille de chêne blonde;125g ;12,72€/KG;1,59€;non
Fruits et légumes;Légumes;FLORETTE Duo mache et pousse epinard;100g ;21,90€/KG;2,19€;non
Fruits et légumes;Légumes;CASINO Mâche;125g ;14€/KG;1,75€;non
Fruits et légumes;Légumes;FLORETTE Maxi Mesclun;175g ;11,37€/KG;1,99€;non
Fruits et légumes;Légumes;FLORETTE Petites feuilles de chêne vertes;150g ;13,67€/KG;2,05€;non
Fruits et légumes;Légumes;FLORETTE Salade Mâche;125g ;18€/KG;2,25€;non
Fruits et légumes;Légumes;FLORETTE Mélange de saison;180g ;8,83€/KG;1,59€;non
Fruits et légumes;Légumes;LES CRUDETTES Mélange gourmand;200g ;9,75€/KG;1,95€;non
Fruits et légumes;Légumes;CASINO Mélange Tendre;150g ;14,60€/KG;2,19€;non
Fruits et légumes;Légumes;TOUS LES JOURS Salade mélangé;300g ;4,63€/KG;1,39€;non
Fruits et légumes;Légumes; Persil frisé - Botte - Cat. 1;La pièce;1,65€;1,65€;non
Fruits et légumes;Fruits;CASINO BIO Banane Max Havelaar - Cat. 2 - Biologique;x5 ;2,13€/KG;1,49€;non
Fruits et légumes;Fruits;CASINO BIO Citron - Cat. 2  - Biologique;500g ;3,98€/KG;1,99€;non
Fruits et légumes;Fruits;CASINO BIO Orange - Cat. 2 - Biologique;1kg ;3,49€/KG;3,49€;non
Fruits et légumes;Fruits;CASINO BIO Clémentines - Cat.2 - Biologique;500g ;6,98€/KG;3,49€;non
Fruits et légumes;Fruits;CASINO BIO Pommes bicolore - Cat. 2 - Biologique;x4 ;6,15€/KG;3,69€;non
Fruits et légumes;Fruits; Pommes Canada - Cat.2 - Biologique;x4 ;7,38€/KG;3,69€;non
Fruits et légumes;Fruits;CASINO BIO Pommes jaunes - Cat. 2 - Biologique;x4;3,69€;3,69€;non
Fruits et légumes;Fruits; Bananes - Cat. 1;De 800g à 1kg ;1,99€/KG;1,99€;non
Fruits et légumes;Fruits;CASINO Citrons - Cat. 1;De 400g à 500g ;3,50€/KG;1,75€;non
Fruits et légumes;Fruits; Citrons verts - Cat. 1;De 400g à 500g ;4€/KG;2€;non
Fruits et légumes;Fruits; Mandarine Nadorcott - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Fruits; Fraise - Variété Gariguette - Cat. 1;250g ;8,76€/KG;2,19€;non
Fruits et légumes;Fruits; Fraises - Cat. 1;500g ;4,58€/KG;2,29€;non
Fruits et légumes;Fruits;CASINO Melon Jaune - Cat. 1;La pièce;3,99€;3,99€;non
Fruits et légumes;Fruits; Kiwi - Cat. 1;La pièce;0,99€;0,99€;non
Fruits et légumes;Fruits; Kiwi - Cat. 2;1kg ;4,79€/KG;4,79€;non
Fruits et légumes;Fruits; Kiwi Gold - Cat.1;La pièce;0,99€;0,99€;non
Fruits et légumes;Fruits; Mandarines à jus - Variété Ortanique - Cat. 1;2kg ;2,50€/KG;4,99€;non
Fruits et légumes;Fruits; Mandarines Nadorcott - Cat.1;1,5kg ;2,99€/KG;4,49€;non
Fruits et légumes;Fruits; Mangue - Cat. 1;La pièce;1,69€;1,69€;non
Fruits et légumes;Fruits;TERRE D'AGRUMES Oranges - Variété Naveline - Cat. 1;2kg ;1,75€/KG;3,49€;non
Fruits et légumes;Fruits; Orange à jus - Cat.1;2kg ;1,65€/KG;3,29€;non
Fruits et légumes;Fruits; Orange - Variété sanguinelli - Cat. 1;1kg ;2,99€/KG;2,99€;non
Fruits et légumes;Fruits; Oranges - Variété Maltaise - Cat. 1;De 800g à 1kg ;3,59€/KG;3,59€;non
Fruits et légumes;Fruits; Orange sélection - Variété Naveline - Cat. 1;De 800g à 1kg ;3,49€/KG;3,49€;non
Fruits et légumes;Fruits; Pomelos rose - Cat.1;La pièce;1,29€;1,29€;non
Fruits et légumes;Fruits; Poires - Variété Conférence - Cat. 1;De 800g à 1kg ;4,79€/KG;4,79€;non
Fruits et légumes;Fruits; Poire - Variété Rocha - Cat. 1;De 800g à 1kg ;3,49€/KG;3,49€;non
Fruits et légumes;Fruits; Poires - Variété rocha - Cat. 1;1kg ;3,49€/KG;3,49€;non
Fruits et légumes;Fruits; Poires - Variété William verte - Cat. 1;De 800g à 1kg ;5,99€/KG;5,99€;non
Fruits et légumes;Fruits; Pommes - Variété Pink Lady - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Fruits; Pommes - Variété Canada grises - Cat. 1;De 800g à 1kg ;3,59€/KG;3,59€;non
Fruits et légumes;Fruits; Pommes - Variété Golden - Cat. 1;2kg ;1,50€/KG;2,99€;non
Fruits et légumes;Fruits; Pommes - Variété Golden Label rouge - Cat. 1;De 800g à 1kg ;3,29€/KG;3,29€;non
Fruits et légumes;Fruits; Pommes Chanteclerc - Cat. 1;De 800g à 1kg ;3,99€/KG;3,99€;non
Fruits et légumes;Fruits; Prune jaune - Cat.1;De 800g à 1kg ;5,99€/KG;5,99€;non
Fruits et légumes;Fruits; Prunes rouges - Cat. 1;De 800g à 1kg ;5,99€/KG;5,99€;non
Fruits et légumes;Fruits; Raisin blanc Autumn crisp - Cat. 1;500g ;11,98€/KG;5,99€;non
Fruits et légumes;Fruits; Raisin noir sans pépin - Variété Vitoria - Barquette - Cat. 1;500g ;9,98€/KG;4,99€;non
Fruits et légumes;Fruits;CASINO BIO Amandes grillées - Biologique;100g ;32,90€/KG;3,29€;non
Fruits et légumes;Fruits;PROFRUIT Arachide Coques grillées;500g ;5,34€/KG;2,67€;non
Fruits et légumes;Fruits;PROFRUIT Cacahuètes caramélisées;500g ;7,02€/KG;3,51€;non
Fruits et légumes;Fruits;PROFRUIT Maïs grillé salé;500g ;3,68€/KG;1,84€;non
Fruits et légumes;Fruits;PROFRUIT Tournesol grillés;500g ;4,32€/KG;2,16€;non
