categorie;type;nom;poids;prix_par_kg;prix;promo
Épicerie sucrée;Cafés et boissons chaudes;L'OR Espresso - Or Rose - 10 Capsules Aluminium - Intensité 7 - Café;Capsules Aluminium ;57,50€/KG;2,99€;non
Épicerie sucrée;Cafés et boissons chaudes;L'OR Espresso - Ristretto - 10 Capsules Aluminium - Intensité 11 - Café;Capsules Aluminium ;51,54€/KG;2,69€;non
Épicerie sucrée;Cafés et boissons chaudes;L'OR Espresso - Ristretto - 20 Capsules Aluminium - Intensité 11 - Café;Capsules Aluminium ;47,60€/KG;4,97€;non
Épicerie sucrée;Cafés et boissons chaudes;L'OR Espresso - Satinato - 10 Capsules Aluminium - Intensité 6 - Café;Capsules Aluminium ;54,62€/KG;2,82€;non
Épicerie sucrée;Cafés et boissons chaudes;L'OR Espresso - Sontuoso - 10 Capsules Aluminium - Intensité 8 - Café;Capsules Aluminium ;52,31€/KG;2,72€;non
Épicerie sucrée;Cafés et boissons chaudes;L'OR Espresso - Splendente - 10 Capsules Aluminium - Intensité 7 - Café;Capsules Aluminium ;50,38€/KG;2,62€;non
Épicerie sucrée;Cafés et boissons chaudes;OR Espresso - Splendente - 20 Capsules Aluminium - Intensité 7 - Café;Capsules Aluminium ;47,98€/KG;4,86€;non
Épicerie sucrée;Cafés et boissons chaudes;L'OR Espresso - Supremo - 10 Capsules Aluminium - Intensité 10 - Café;Capsules Aluminium ;51,35€/KG;2,68€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE DOLCE GUSTO Espresso Barista - 16 Capsules - Intensité 9 - Arabica et Robusta - Café;x16 ;33,66€/KG;3,82€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Espresso intense - Café - 30 capsules - Intensité 7;210g ;29,33€/KG;6,14€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE DOLCE GUSTO Espresso Intenso - 16 Capsules - Intensité 7 - Arabica et Robusta - Café;x16 ;33,39€/KG;3,73€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE Farmers Origins Brazil  café 10 capsules;53g ;56,15€/KG;2,94€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO Grand Mère - Espresso - 16 Dosettes Rigides  - Café;Dosettes Rigides ;31,15€/KG;3,24€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE DOLCE GUSTO Grande - 16 Capsules - Intensité 5 - Premium Arabica - Café;x16 ;29,30€/KG;3,73€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Grande - 16 Capsules Plastique - Intensité 5 - Café;Capsules Plastique ;29,73€/KG;3,31€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE DOLCE GUSTO Grande - 30 Capsules - Intensité 5 - Premium Arabica - Café;x30 ;27,67€/KG;6,78€;non
Épicerie sucrée;Cafés et boissons chaudes;CASINO Grande - Café - 30 capsules - Intensité 5;210g ;28,43€/KG;6,10€;non
Épicerie sucrée;Cafés et boissons chaudes;DOLCE GUSTO Grande Intenso - Café - 16 capsules - Intensité 7;144g ;27,71€/KG;3,99€;non
Épicerie sucrée;Cafés et boissons chaudes;MALONGO La Grande Reserve - Pur Arabica - 16 Dosettes Fibres Naturelles - Maxi Format;104g ;36,92€/KG;3,95€;non
Épicerie sucrée;Cafés et boissons chaudes;NESCAFE DOLCE GUSTO Latte amande - café -  12 capsules - vegan;132g ;27,88€/KG;3,69€;non
Épicerie sucrée;Cafés et boissons chaudes;TASSIMO L'Or - Espresso - Classique - 16 Dosettes Rigides - Café;Dosettes Rigides ;35,67€/KG;3,59€;non
